TaxonomicName,CatalogueNumber,Clade,Order,Family,Genus,FullName,VernacularName,TypeStatus,TypeName,DecimalLatitude,DecimalLongitude,Locality,RecordedBy,RecordNumber,CollectionDate,Country,InstitutionCode,ImageFile,Habit,LeafArrangement,LeafForm,LeafVenation,LeafMargin,Stipules,Exudate,StemArmature,Tendrils,LeafSample,DNAextracted,DNAsequenced,DNAnotes,EditedAt
Leptolaena bojeriana,K001304940,,,Sarcolaenaceae,Leptolaena,Leptolaena bojeriana,,,,-20.5506,46.6178,,"Rakotonasolo, F.; Rajaovelona, L.; Rakotoarisoa, A.; Razanandrakoto, H.",MDG113-12-19 49,2019-12-08 00:00:00,Madagascar,K,,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K001303906,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-20.5031,46.5522,,"Rakotonasolo, F.; Rajaovelona, L.",MDG113_7 28,2019-02-22 00:00:00,Madagascar,K,K001303906,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K001933991,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-20.0833,47.0167,,"Du Puy, B.; Du Puy, D.; Baum, D.",MB271,,Madagascar,K,K001933991,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K001899143,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,45.2567,,"Randriamboavonjy, T.; Razanatsoa, H.",RTI 151,2004-11-23 00:00:00,Madagascar,K,K001899143,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K001899353,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-20.5725,46.5817,,"Schatz,G.E.; Razafindrakoto,F.Y.; Andrianjafy,N.M.; Rabenantoandro,J.",3985,2000-03-11 00:00:00,Madagascar,K,,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K001899358,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-20.0639,46.9994,,"Birkinshaw,Chris; Reza,Ludovic; Lalao,Razafitsalama.",816,2001-01-27 00:00:00,Madagascar,K,,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K001899360,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-20.0639,46.9994,,"Birkinshaw,Chris; Reza,Ludovic; Lalao,Razafitsalama.",816,2001-01-27 00:00:00,Madagascar,K,,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K001899361,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-20.0644,47.0008,,"Hongwa,Cynthia; Andriamihajrivo,T.; Ravalimanarivo,N.L.",321,2005-06-20 00:00:00,Madagascar,K,,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K001036776,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-20.6108,46.6086,,"Rabarivola,M.L.; Ravaorisoa,S.; Lehavana",RML 289,2014-02-15 00:00:00,Madagascar,K,K001036776,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508251,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,s.coll.,947,,Madagascar,K,K005508251; K005508251_a,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508249,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,"Baron, R. (Revd)",5119,,Madagascar,K,K005508249,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508245,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,"Keraudren, M.",104,,Madagascar,K,K005508245,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508238,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,"Dorr, L.J.; Barnett, L.C.; Rakotozafy, A.; Rajemisa, R.",3436,1985-01-09 00:00:00,Madagascar,K,K005508238,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508254,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,"Perrier de la Bathie, H.",18495,1928-03-01 00:00:00,Madagascar,K,K005508254,,,,,,,,,,,,,Not attempted,
Leptolaena bojeriana,K000489934,,,Sarcolaenaceae,Leptolaena,Leptolaena bojeriana,,,,-19.2,47.4833,,"Dorr, L.J.; Lampredi, S.; Tormey, K.",2886,1984-03-10 00:00:00,Madagascar,K,K000489934,,,,,,,,,,,,,,
Xerochlamys bojeriana,K005508242,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,"Dorr, L.J.; Barnett, L.C.; Rakotozafy, A.; Cheek, M.R.; Razafimalala, N.",3844,1985-03-06 00:00:00,Madagascar,K,K005508242,,,,,,,,,,,,,Not attempted,
Leptolaena bojeriana,K000240317,,,Sarcolaenaceae,Leptolaena,Leptolaena bojeriana,,Type,Xerochlamys pubescens,,,,"Baron, R.",5112,,Madagascar,K,K000240317,,,,,,,,,,,,,,
Leptolaena bojeriana,K000240319,,,Sarcolaenaceae,Leptolaena,Leptolaena bojeriana,,Type,Xerochlamys pilosa,,,,"Baron, R.",134,,Madagascar,K,K000240319,,,,,,,,,,,,,,
Xerochlamys bojeriana,K005508258,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-20.0669,47.0131,,"Ranarivelo, T.; Roberts, D.; Cribb, P.; Razafindraibe, H.",RTI472,2007-02-10 00:00:00,Madagascar,K,K005508258,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508237,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-19.0949,47.5141,,"Andriamahay, M. : SNGF",757,2004-05-19 00:00:00,Madagascar,K,K005508237,,,,,,,,,,,,,,
Xerochlamys bojeriana,K005508246,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,"Barnett, L.; Dorr, L.J.; Cheek, M.R.",459,1985-02-13 00:00:00,Madagascar,K,K005508246,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508240,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,s.coll.,647-SF,,Madagascar,K,K005508240,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508244,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,"Capuron, R.",23496SF,1961-05-03 00:00:00,Madagascar,K,K005508244,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508253,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,"Humbert, H.",7110,1928-12-24 00:00:00,Madagascar,K,K005508253,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K001270822,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-20.6292,46.8437,,"Rabarivola, M.L. : KMCC; Razanatsoa, J.; Wilkin, P. : Kew; Rakotonasolo, F. : KMCC",RML 409,2014-03-21 00:00:00,Madagascar,K,K001270822,,,,,,,,,,,,,,
Leptolaena bojeriana,K000489933,,,Sarcolaenaceae,Leptolaena,Leptolaena bojeriana,,,,-22.6167,45.3167,,"Lorence, D.",2069,1978-11-06 00:00:00,Madagascar,K,K000489933,,,,,,,,,,,,,,
Xerochlamys villosa,K005508278,,,Sarcolaenaceae,Xerochlamys,Xerochlamys villosa,,,,-22.65,46.35,,"Leeuwenberg, A.J.M.; Rapanarivo, S.",14620,1995-08-08 00:00:00,Madagascar,K,K005508278,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508239,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-20.6133,46.8253,,"Du Puy, D.J.; Labat, J.N.; Andriantiana, J.",M627,,Madagascar,K,K005508239,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508252,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,"Viguier, R.; Humbert, H.",1416,1912-11-19 00:00:00,Madagascar,K,K005508252,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508256,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-20.0681,46.9994,,"Rakotoarisoa, S.E. : KMCC; Andriamahay, M. : SNGF",2206,2009-02-07 00:00:00,Madagascar,K,K005508256,,,,,,,,,,,,,,
Xerochlamys bojeriana,K005508243,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,"Dorr, L.J.; Barnett, L.C.; Rakotozafy, A.",4571,1986-01-12 00:00:00,Madagascar,K,K005508243,,,,,,,,,,,,,Not attempted,
